id,lat,lon,rooms,bedrooms,bathrooms,surface_total,surface_covered,es_mensual,l1_Argentina,l1_Brasil,l1_Estados Unidos,l1_Uruguay,l2_Bs.As. G.B.A. Zona Norte,l2_Bs.As. G.B.A. Zona Oeste,l2_Bs.As. G.B.A. Zona Sur,l2_Buenos Aires Costa Atlántica,l2_Buenos Aires Interior,l2_Canelones,l2_Capital Federal,l2_Catamarca,l2_Chaco,l2_Chubut,l2_Colonia,l2_Corrientes,l2_Córdoba,l2_Entre Ríos,l2_Florida,l2_Formosa,l2_Jujuy,l2_La Pampa,l2_La Rioja,l2_Maldonado,l2_Maryland,l2_Mendoza,l2_Miami,l2_Michigan,l2_Misiones,l2_Montevideo,l2_Neuquén,l2_Pennsylvania,l2_Rocha,l2_Río Negro,l2_Salta,l2_San Juan,l2_San Luis,l2_Santa Catarina,l2_Santa Cruz,l2_Santa Fe,l2_Santiago Del Estero,l2_Tierra Del Fuego,l2_Tucumán,PROB
Ay3bc5BpzOUihIr/dvuBlg==,-38.0279084,-57.5664997,-1.0,-1.0,2.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
eyvFNz7FIDq8wn7BKSL2tw==,-34.9320542,-54.9433397,-1.0,4.0,3.0,138.0,138.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334
TpzomDkMeKFxr9v9izHKpw==,-34.557877000000005,-58.471747,5.0,-1.0,3.0,192.0,240.45983488872938,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8163265306122449
ji6O/wZp2JpW2xDRTM5img==,-34.407279100000004,-58.6602101,-1.0,4.0,4.0,527.8405683367065,336.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9450297755382501
c0+DJ7PlE422ehboL6p4hg==,-34.4918307005,-58.571236669799994,6.0,5.0,4.0,620.0,620.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9450297755382501
CkAu3xsDbb62LR0OyiyupQ==,-37.9454726,-57.5835186,-1.0,-1.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
q1kJYd5fsuzEItVYuk8cGA==,-34.7033269451,-58.416017511099994,-1.0,-1.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
xrPptgJ+LPVDEk/RCIC+Tg==,-34.636771029853726,-59.37843160735844,2.0,-1.0,-1.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8905109489051095
OOYsgmBhrYb03CCm3ziGkA==,-34.4160108648,-58.6654599934,-1.0,5.0,5.0,800.0,700.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9450297755382501
y2fASfZER0N2LCI9sn+A9Q==,-34.57278779999999,-59.0741076,7.0,6.0,6.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6814814814814815
xBm4b6Q2DkvKMTQq6OmmLw==,-38.08346501,-57.5615559,-1.0,-1.0,2.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
1+tqbsb5S9uE9ifEDM0qCA==,-34.9408500574,-54.920594011999995,5.0,-1.0,2.0,527.8405683367065,265.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7857142857142857
HspwRQnOZEp8GF2dLKd1LA==,-34.81911470000001,-54.62056070000001,4.0,3.0,3.0,214.0,214.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7192982456140351
y4iR/kANo386bEjuAvPQHA==,-34.636771029853726,-59.37843160735844,-1.0,3.0,4.0,205.0,254.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8218623481781376
SrKfqjslz/V1nmS8f6EtVw==,-34.636771029853726,-59.37843160735844,-1.0,3.0,4.0,665.0,226.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695067264573991
TNBUvBrxVCzIjF6/T5+HDg==,-34.592026000000004,-58.433414,2.0,1.0,1.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8905109489051095
RMetOEP/ObXbN3y73UVERA==,-34.425087,-58.5796585,-1.0,4.0,3.0,850.0,200.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7112299465240641
CcaQu/g1Ap7yk5iWw6XE1g==,-34.3839424,-58.6803904,-1.0,4.0,6.0,527.8405683367065,272.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9312581063553826
qePzjHFjxtUsx/YvdtxPaQ==,-34.84281120420783,-55.468859424850095,6.0,5.0,4.0,600.0,240.45983488872938,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9824561403508771
Q5kKzQ3U9ETNeCSLuygT3g==,-45.8166983182,-67.4731942175,3.0,1.0,2.0,102.0,240.45983488872938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
J2yLFDX41zun+BRtyOQKWA==,-34.3762852,-58.6974064,-1.0,3.0,3.0,301.0,251.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9312581063553826
Cywinl6ZX6CIQ+V/+Abh4A==,-34.6317515,-58.5139978,7.0,-1.0,2.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8905109489051095
jP+WoytCxp2To50BKYQNHA==,-34.8746185,-58.4890861,5.0,4.0,2.0,190.0,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
hSfyUqi6BxkTKn9NZFP2DQ==,-34.4755810361,-58.63558665470001,-1.0,4.0,4.0,520.0,400.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9450297755382501
HWSY8/iBU7D/Ud1htfTHRA==,-34.76491927,-58.20316315,-1.0,-1.0,3.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5689655172413793
QXd8Hpk53qfIuPrs8lKvGA==,-31.347983186700002,-64.4979989385,-1.0,-1.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
7SxhNs8nuXttez+MS6HfIg==,-34.7743545762,-58.4190706561,7.0,6.0,4.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7237569060773481
IREuZ7SyI29iBmEEW2uGJA==,-34.6661808,-58.5076897,4.0,3.0,6.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8686868686868687
rsvJP1/ka/pu3H4S8ojN8A==,-34.636771029853726,-59.37843160735844,-1.0,4.0,4.0,315.0,315.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8218623481781376
FygdL/V3htDJrdXPZE8B8A==,-34.3573597825,-58.758013560500004,5.0,3.0,2.0,310.0,250.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6298200514138818
UfUXWkYGJuakFS4joHxWPQ==,-37.9947116,-57.57865820000001,-1.0,-1.0,1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
GbBl2t7tao3XlXkz+3KoIA==,-34.636771029853726,-59.37843160735844,4.0,3.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35260115606936415
sPGVIbuWdEdHKMBwuOUX0w==,-31.64591,-64.487922,7.398545525749032,5.0,-1.0,624.0,240.45983488872938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
8dL/nN4lTUKSKfUYQZLtRw==,-34.7998551,-58.1609951,5.0,4.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
6vJxImf5BH7N9BpHw5lDzA==,-34.636771029853726,-59.37843160735844,-1.0,4.0,2.0,250.0,200.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5526315789473685
7Bz8MnHMdG7RK5jgDRulHQ==,-34.8945797,-56.0659754,-1.0,4.0,3.0,527.8405683367065,205.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7192982456140351
YLIcd+bUe7hRAelSkE1irg==,-34.7903299,-58.3966422,1.0,0.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
Yx5AvqIuPysqJE21JhM9bA==,-34.636771029853726,-59.37843160735844,-1.0,-1.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35260115606936415
QmwqdqVdzJCUa1u8cNY6Dw==,-34.636771029853726,-59.37843160735844,5.0,3.0,3.0,301.0,251.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724907063197026
1ffzMv/rReSfPpqva8mM/g==,-34.6670734,-58.3824927,-1.0,-1.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
Cv4MORYHOsknxCpXkfx27w==,-34.5783787,-58.4638208,5.0,4.0,2.0,320.0,283.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8905109489051095
RmKJyuRdtGqkkeQVOjcWxw==,-34.5530187,-58.4813522,5.0,4.0,2.0,527.8405683367065,266.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8905109489051095
q/OimDEnXvUndSxPani/mg==,-34.42313529999999,-58.5804807,-1.0,3.0,4.0,205.0,205.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889090909090909
Iv4X0/UAsCVB9rpGpySjOQ==,-34.636771029853726,-59.37843160735844,-1.0,3.0,4.0,850.0,200.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42487046632124353
cD1gGFS50BYcAZa1FCW5bg==,-34.8969795,-60.0190731,-1.0,-1.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
zth3kY7HBKMcOfOBB6u7aw==,-34.7446112,-58.3917316,5.0,-1.0,2.0,310.0,310.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
1eKXkpUTCW4QpvdtX90fCQ==,-31.3027788,-64.2338225,-1.0,-1.0,4.0,527.8405683367065,470.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6579804560260586
4LS8EDLaWj37EzXiZoviaQ==,-34.636771029853726,-59.37843160735844,-1.0,3.0,3.0,275.0,244.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621414913957935
04nxr99Ji+2mA7OhS0j+cg==,-34.469006,-58.711126,-1.0,-1.0,-1.0,527.8405683367065,240.45983488872938,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8881118881118881
TdjWRoPJKjd6TnWY708RCw==,-32.9272155,-60.6893946,-1.0,-1.0,1.0,57.0,240.45983488872938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3895705521472393
DaojuD1Qcg0FZP8YZN4xbQ==,-34.8500908,-58.4404182,4.0,3.0,2.0,160.0,240.45983488872938,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3895705521472393
5vT+oggOa4SLfF2jTTJ0Cw==,-34.636771029853726,-59.37843160735844,-1.0,6.0,6.501090329668866,1980.0,240.45983488872938,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8686868686868687
n6FUIERMsmN3cG05YKxiRQ==,-34.4458113152,-58.5552880362,5.0,4.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7112299465240641
KOxLaid+2DH8hOXCyEepyQ==,-34.3846912,-58.6808715,-1.0,3.0,2.0,221.0,190.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5526315789473685
60+ZQkgx+VUu6eo4Hpt+tw==,-34.636771029853726,-59.37843160735844,-1.0,3.0,2.0,665.0,226.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5526315789473685
c02tew8ffGKEYG8ulepRsw==,-38.0280959,-57.5390941,-1.0,-1.0,4.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8188976377952756
rGbBO7Q0OzJLCEHtL0Lq+Q==,-34.636771029853726,-59.37843160735844,5.0,4.0,3.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35260115606936415
AqgPmZkyCV0qGkZZtjRk4Q==,-31.4782662,-64.1822188,7.398545525749032,4.0,4.0,660.0,650.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6579804560260586
PdyVE7bgx7OInMcjNurxIA==,-34.9374522,-54.9353119,6.0,4.0,6.0,527.8405683367065,360.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9627329192546584
kh+wLhgl6RZdWOBPh3P9Kg==,-34.4361539,-58.80128689,4.0,3.0,4.0,527.8405683367065,240.45983488872938,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6814814814814815
zRAw7dwo4XE9B7nCeUNx1g==,-37.9454726,-57.5835186,-1.0,-1.0,4.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6397058823529411
h0JpSEAuMwcU3xER0mklBw==,-34.594390999999995,-58.420979,6.0,4.0,2.0,240.0,210.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8492063492063492
yrF+1sv7pWq5YvwEiDMuKg==,-31.2993211303,-64.236222,4.0,-1.0,4.0,527.8405683367065,400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6579804560260586
i3GM88u0LptGCpdByiUBtQ==,-34.636771029853726,-59.37843160735844,4.0,3.0,2.0,527.8405683367065,240.45983488872938,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8905109489051095
LQ97M2MbJhctUlbOWkSA/g==,-34.636771029853726,-59.37843160735844,-1.0,5.0,4.0,350.0,350.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9450297755382501
OM+uXQ5F90J0ilb60dzJVw==,-34.462814253299996,-58.6248912728,-1.0,3.0,2.0,300.0,300.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6298200514138818
